Collection_LocationId,COLLECTION_LOCATION_UUID,branchNumber,COLLECTION_TYPE,FRIENDLY_IDENTIFIER,OPERATION_TYPE
7758,356b56d7-a20b-4bfa-8f3c-0284021253bd,2949,STORE_COLLECT,CA,NONPOD
7395,1ba80aa5-2008-4400-91a7-a1ef5924ca1e,2952,COLLECT_FROM_LOCATION,SA,NONPOD
7100,c42606a5-f022-4f77-8121-989697fade9c,2952,STORE_COLLECT,PA,POD
7104,fb0a3060-c509-41de-a83b-15103a8ed0e6,2955,STORE_COLLECT,CA,POD
7362,f864b439-43d0-41b8-ba94-ca065d0e3b51,2962,STORE_COLLECT,CA,NONPOD
7216,b59bdb47-ffb3-4f07-bd61-089d5dc143c9,2969,STORE_COLLECT,PA,POD
7426,85905655-bf47-40e4-8427-6f479ef09373,2971,COLLECT_FROM_LOCATION,SA,NONPOD
7109,ab201879-b51f-4382-befb-885f290dbed6,2971,STORE_COLLECT,PA,POD
8082,51cf1714-c086-4b6d-b4fa-748206403ef5,2989,STORE_COLLECT,CA,POD
7193,5f93558e-375d-4483-be94-694e2c013ee6,2989,COLLECT_FROM_LOCATION,VA,NONPOD
7732,db5a88cb-102c-46a9-8788-c1fd249a5850,2992,STORE_COLLECT,CA,NONPOD
7942,178a1c55-203d-419e-8a46-ca0609114321,2993,STORE_COLLECT,CA,NONPOD
7132,7132,2994,STORE_COLLECT,PA,POD
7787,7d489d96-a9a0-4070-8251-312c91cbe937,2994,COLLECT_FROM_LOCATION,VA,NONPOD
7138,49bd5fc5-61e2-4d59-8538-6a330e639c0d,3008,STORE_COLLECT,CA,NONPOD
7095,6ac1e4c3-badf-4018-8ba4-cf42f50884aa,3009,STORE_COLLECT,PA,POD
7314,0daef1d0-1d1d-42c8-bfa9-63eefa27a550,3026,STORE_COLLECT,CA,NONPOD
7140,c043f499-060a-49f7-9b5c-fccf0fee9399,3031,STORE_COLLECT,PA,POD
7633,063caed2-2aa4-4412-80ff-f6859867c783,3032,STORE_COLLECT,CA,NONPOD
7182,49c68fc8-6663-46bd-97fe-777d1b5f2bf3,3036,STORE_COLLECT,CA,POD
7208,6f3872fd-d565-49d6-a16a-a14da4bb134f,3039,COLLECT_FROM_LOCATION,VA,NONPOD
7508,3afb1a20-d18d-46e5-9d34-68a8131357d7,3040,COLLECT_FROM_LOCATION,SA,NONPOD
7105,79feae7c-bc39-43a9-9c57-e16b725055d4,3040,STORE_COLLECT,PA,POD
7055,9f6cddf6-40c6-4eb4-88cc-ec33139fd3aa,3041,STORE_COLLECT,CA,NONPOD
7183,7230327d-c270-40a8-9099-ceecad2ac087,3055,STORE_COLLECT,CA,POD
7203,f4ab973c-0399-4699-917e-2a8386a18a99,3060,STORE_COLLECT,PA,POD
7491,5dff9a04-e307-4970-828e-94654bd00de8,3063,COLLECT_FROM_LOCATION,SA,NONPOD
7241,fa115a41-1ae2-417d-86fc-f295ef452221,3063,STORE_COLLECT,PA,POD
7524,71271ac9-3ce9-48d2-800e-223eae134e78,3065,STORE_COLLECT,PA,POD
7321,50b49f1a-caa4-4e4b-a5aa-5915913586c1,3066,COLLECT_FROM_LOCATION,SA,NONPOD
7198,fc36cb4f-4735-45b0-ac8f-d339c849008b,3066,STORE_COLLECT,CA,POD
7120,98cba39d-c820-4497-9911-3d7107474fc0,3074,STORE_COLLECT,PA,POD
7184,1a9d4f0d-141e-4562-80b4-d598b00c1229,3084,STORE_COLLECT,CA,POD
7238,209ce67f-e6d0-4fd2-a922-6d58e0ade40f,3095,STORE_COLLECT,PA,POD
7815,9d586dda-8f3b-477c-a7ef-d2e6205681c7,3107,STORE_COLLECT,PA,POD
7062,090cd5ce-a840-4923-81e6-30591943c7cc,3108,STORE_COLLECT,PA,POD
7026,7c4258c3-d68f-4b1d-a950-08557ef294eb,3115,STORE_COLLECT,PA,POD
7492,85b5c564-f247-4dc5-a7e2-d32c9a05c30a,3120,COLLECT_FROM_LOCATION,SA,NONPOD
7002,a3dfb408-6021-4990-96e0-0ff0e445b376,3120,STORE_COLLECT,PA,POD
7698,2276d15a-d8cf-47e6-badf-b2f273543fab,3130,STORE_COLLECT,CA,NONPOD
7131,4d064687-ea41-454e-b368-11eb5cdce10e,3133,STORE_COLLECT,CA,POD
7700,a1049209-5ff7-4030-bd1a-a1b9f43b96f5,3137,STORE_COLLECT,CA,NONPOD
7788,c3876519-bc2b-49b8-b1d3-021d3db53716,3142,STORE_COLLECT,CA,NONPOD
7689,19b02ed2-da3c-4035-a635-4355d511d7b1,3145,COLLECT_FROM_LOCATION,UA,NONPOD
7116,9a1fb74f-8c56-4787-be9b-0ebfad068432,3145,STORE_COLLECT,CA,NonPOD
7166,56d8613a-46cc-4d28-b3d1-fa52c5c6a59d,3149,STORE_COLLECT,CA,POD
7774,2ff8d8d6-5c49-450f-a3e6-9d63ec99c696,3166,STORE_COLLECT,CA,NONPOD
7096,97f8256d-f8de-4c3a-910d-a59439d0e759,3178,STORE_COLLECT,PA,POD
7549,682cb89b-fab9-46f6-ab07-86265c7820c5,3179,STORE_COLLECT,PA,POD
7481,afea5542-e6ae-45ff-b5be-20553ec3c583,3181,STORE_COLLECT,PA,POD
7129,07f2cc0d-2b51-42b9-a9d0-5a9bf1a15f2a,3188,STORE_COLLECT,PA,POD
7432,27423892-6197-436d-8007-55f7063c6e23,3188,COLLECT_FROM_LOCATION,SA,NONPOD
